序号,卡牌,技能档,技能(名称：效果),解锁,可升级,升级货币,上限,Lv1,Lv2,Lv3,Lv4,Lv5,升级消耗(2/3/4/5级),说明
1,龙焰女王,普通,破城(Siege)：对建筑伤害+30%,出生即带,否,—,静态,—,—,—,—,—,—,—
1,龙焰女王,普通,翔空(Skyborne)：对地面单位闪避率+20%,出生即带,否,—,静态,—,—,—,—,—,—,—
1,龙焰女王,普通,破械(Tech-Bane)：对机械单位伤害+20%,出生即带,否,—,静态,—,—,—,—,—,—,—
1,龙焰女王,稀有,电击(Zap)：5%几率眩晕敌人1秒,卡牌5级解锁,是,金币,最高5级,100%,114%,130%,145%,160%,5000/15000/40000/100000,强度%乘到该技能核心数值
1,龙焰女王,史诗,狂暴(Rage)：每次攻击增加自身攻击力1%，最多叠加10次,卡牌10级解锁,是,钻石(或每日看广告升级1次),最高5级,100%,120%,140%,160%,185%,60/120/240/480,强度%乘到该技能核心数值
1,龙焰女王,传奇,烈焰风暴(Fire Storm)：每15秒发射火球，造成范围伤害,卡牌15级解锁,是,钻石(或看广告升级),最高5级,100%,130%,165%,204%,250%,120/240/480/960,强度%乘到该技能核心数值
2,永冬之王,普通,防空(Flak)：对空中单位伤害+30%,出生即带,否,—,静态,—,—,—,—,—,—,—
2,永冬之王,普通,慑魂(Dread)：对人类单位伤害+20%,出生即带,否,—,静态,—,—,—,—,—,—,—
2,永冬之王,普通,破械(Tech-Bane)：对机械单位伤害+20%,出生即带,否,—,静态,—,—,—,—,—,—,—
2,永冬之王,稀有,猎杀标记(Hunter's Mark)：对孤立目标造成额外25%伤害,卡牌5级解锁,是,金币,最高5级,100%,114%,130%,145%,160%,5000/15000/40000/100000,强度%乘到该技能核心数值
2,永冬之王,史诗,凝望架势(Deadeye Stance)：移动速度降低20%(换取远程定位),卡牌10级解锁,是,钻石(或每日看广告升级1次),最高5级,100%,120%,140%,160%,185%,60/120/240/480,强度%乘到该技能核心数值
2,永冬之王,传奇,炼狱火雨(Inferno Rain)：每15秒召唤持续3秒的地狱火雨造成爆炸伤害，被击败的敌人化为骷髅士兵,卡牌15级解锁,是,钻石(或看广告升级),最高5级,100%,130%,165%,204%,250%,120/240/480/960,强度%乘到该技能核心数值
3,风暴女巫,普通,防空(Flak)：对空中单位伤害+30%,出生即带,否,—,静态,—,—,—,—,—,—,—
3,风暴女巫,普通,破械(Tech-Bane)：对机械单位伤害+20%,出生即带,否,—,静态,—,—,—,—,—,—,—
3,风暴女巫,稀有,远视(Longshot)：射程+5%,卡牌5级解锁,是,金币,最高5级,100%,114%,130%,145%,160%,5000/15000/40000/100000,强度%乘到该技能核心数值
3,风暴女巫,史诗,凝望架势(Deadeye Stance)：移动速度降低20%(换取远程定位),卡牌10级解锁,是,钻石(或每日看广告升级1次),最高5级,100%,120%,140%,160%,185%,60/120/240/480,强度%乘到该技能核心数值
3,风暴女巫,传奇,天降流星(Meteor)：每15秒召唤陨石坠入敌方建筑，造成大量伤害,卡牌15级解锁,是,钻石(或看广告升级),最高5级,100%,130%,165%,204%,250%,120/240/480/960,强度%乘到该技能核心数值
4,荆棘女王,普通,防空(Flak)：对空中单位伤害+30%,出生即带,否,—,静态,—,—,—,—,—,—,—
4,荆棘女王,普通,破械(Tech-Bane)：对机械单位伤害+20%,出生即带,否,—,静态,—,—,—,—,—,—,—
4,荆棘女王,稀有,多重射击(Multishot)：每5次攻击射出一支额外箭矢,卡牌5级解锁,是,金币,最高5级,100%,114%,130%,145%,160%,5000/15000/40000/100000,强度%乘到该技能核心数值
4,荆棘女王,史诗,远视(Longshot)：射程+5%,卡牌10级解锁,是,钻石(或每日看广告升级1次),最高5级,100%,120%,140%,160%,185%,60/120/240/480,强度%乘到该技能核心数值
4,荆棘女王,传奇,穿云箭(Piercing Shot)：每15秒向随机目标射出穿透箭，造成范围穿透伤害,卡牌15级解锁,是,钻石(或看广告升级),最高5级,100%,130%,165%,204%,250%,120/240/480/960,强度%乘到该技能核心数值
5,圣盾领主,普通,破城(Siege)：对建筑伤害+30%,出生即带,否,—,静态,—,—,—,—,—,—,—
5,圣盾领主,普通,破械(Tech-Bane)：对机械单位伤害+20%,出生即带,否,—,静态,—,—,—,—,—,—,—
5,圣盾领主,稀有,电击(Zap)：5%几率眩晕敌人1秒,卡牌5级解锁,是,金币,最高5级,100%,114%,130%,145%,160%,5000/15000/40000/100000,强度%乘到该技能核心数值
5,圣盾领主,史诗,狂暴(Rage)：每次攻击增加自身攻击力1%，最多叠加10次,卡牌10级解锁,是,钻石(或每日看广告升级1次),最高5级,100%,120%,140%,160%,185%,60/120/240/480,强度%乘到该技能核心数值
5,圣盾领主,传奇,超级冲锋(Super Charge)：每15秒获得两倍移速并冲锋，对接触单位造成伤害，持续5秒,卡牌15级解锁,是,钻石(或看广告升级),最高5级,100%,130%,165%,204%,250%,120/240/480/960,强度%乘到该技能核心数值
6,北境守护者,普通,防空(Flak)：对空中单位伤害+30%,出生即带,否,—,静态,—,—,—,—,—,—,—
6,北境守护者,普通,灭灵(Undead-Bane)：对亡灵单位伤害+20%,出生即带,否,—,静态,—,—,—,—,—,—,—
6,北境守护者,稀有,远视(Longshot)：射程+5%,卡牌5级解锁,是,金币,最高5级,100%,114%,130%,145%,160%,5000/15000/40000/100000,强度%乘到该技能核心数值
6,北境守护者,史诗,凝望架势(Deadeye Stance)：移动速度降低20%(换取远程定位),卡牌10级解锁,是,钻石(或每日看广告升级1次),最高5级,100%,120%,140%,160%,185%,60/120/240/480,强度%乘到该技能核心数值
6,北境守护者,传奇,唤熊(Bear Summon)：每15秒召唤一只继承部分攻防的巨熊,卡牌15级解锁,是,钻石(或看广告升级),最高5级,100%,130%,165%,204%,250%,120/240/480/960,强度%乘到该技能核心数值
7,幽灵船长,普通,防空(Flak)：对空中单位伤害+30%,出生即带,否,—,静态,—,—,—,—,—,—,—
7,幽灵船长,普通,慑魂(Dread)：对人类单位伤害+20%,出生即带,否,—,静态,—,—,—,—,—,—,—
7,幽灵船长,稀有,冰缚(Frostbite)：对攻击目标造成20%减速,卡牌5级解锁,是,金币,最高5级,100%,114%,130%,145%,160%,5000/15000/40000/100000,强度%乘到该技能核心数值
7,幽灵船长,史诗,凝望架势(Deadeye Stance)：移动速度降低20%(换取远程定位),卡牌10级解锁,是,钻石(或每日看广告升级1次),最高5级,100%,120%,140%,160%,185%,60/120/240/480,强度%乘到该技能核心数值
7,幽灵船长,传奇,墓园(Graveyard)：每15秒召唤一队骷髅战士或弓箭手,卡牌15级解锁,是,钻石(或看广告升级),最高5级,100%,130%,165%,204%,250%,120/240/480/960,强度%乘到该技能核心数值
8,幻影刺客,普通,破城(Siege)：对建筑伤害+30%,出生即带,否,—,静态,—,—,—,—,—,—,—
8,幻影刺客,普通,灭灵(Undead-Bane)：对亡灵单位伤害+20%,出生即带,否,—,静态,—,—,—,—,—,—,—
